n,bias.sdn,bias.madn,bias.sn,bias.qn,svar.sdn,svar.madn,svar.sn,svar.qn,eff.madn,eff.sn,eff.qn
98,1.000033,1.000246,1.000039,1.000014,0.506575,1.361882,0.866107,0.650473,0.371967,0.584888,0.778779
99,1.000009,1.00018,1.000017,1.000013,0.506499,1.376106,0.856276,0.651809,0.368067,0.591513,0.777066
100,0.999963,1.000169,0.999976,0.999967,0.505928,1.361393,0.865058,0.649078,0.371625,0.584849,0.779456
109,1.000001,1.000134,1,0.999948,0.506286,1.374057,0.855372,0.647865,0.368461,0.59189,0.781469
110,0.999998,1.000059,1,0.999997,0.505998,1.359547,0.864015,0.646008,0.372182,0.585636,0.78327
119,1.000037,1.000279,1,1.000021,0.505667,1.3742,0.855556,0.644693,0.367972,0.591039,0.784353
120,0.999923,1.000032,1,0.999929,0.505707,1.36101,0.863354,0.643322,0.371567,0.585747,0.786087
129,1.000082,1.000326,1,1.000068,0.505471,1.373813,0.856287,0.64265,0.367933,0.590306,0.786542
130,0.999942,1.000054,1,0.999946,0.505142,1.360885,0.861826,0.640756,0.371186,0.586129,0.788353
139,0.999969,1.000016,1,0.999984,0.504665,1.371974,0.855195,0.639744,0.367838,0.590117,0.788855
140,0.999972,0.999919,1,0.999919,0.504387,1.361158,0.861758,0.638305,0.370557,0.5853,0.790197
149,0.999967,1.000026,1,1.000021,0.50517,1.369798,0.854563,0.638418,0.368792,0.591144,0.791284
150,0.999907,1.000135,1,1.000044,0.504348,1.359811,0.859713,0.636308,0.370895,0.586646,0.792615
159,1.000008,1.000155,1,0.999953,0.503042,1.368741,0.853711,0.635133,0.367522,0.589242,0.792026
160,1.000018,1.000046,1,1,0.50407,1.361384,0.860085,0.63421,0.370263,0.58607,0.7948
169,0.999993,1.000146,1,1.000012,0.503844,1.369294,0.854316,0.633914,0.367959,0.589763,0.794815
170,0.999939,0.999958,1,0.999969,0.503569,1.360806,0.859829,0.632421,0.370052,0.585662,0.796256
179,1.000002,1.000162,1,1.000034,0.503373,1.368088,0.854066,0.632362,0.367939,0.589384,0.79602
180,1.000021,1.00009,1,1.00005,0.504082,1.361143,0.860345,0.632185,0.370337,0.585906,0.797365
189,1.00005,1.000104,1,1.000042,0.503336,1.366937,0.854387,0.630878,0.368222,0.58912,0.797835
190,0.999971,0.999955,1,0.999856,0.503649,1.361622,0.860272,0.631034,0.369889,0.585453,0.798133
199,0.999989,1.000126,1,1.000014,0.502577,1.366829,0.853511,0.628834,0.367696,0.588835,0.799222
200,0.999998,1.000021,1,0.999991,0.502677,1.361322,0.859961,0.629167,0.369256,0.584535,0.798956
249,1.000015,1.000027,1,1.000023,0.502243,1.365032,0.854139,0.62544,0.367935,0.588011,0.803023
250,1.00002,1.000054,1,1.000023,0.502697,1.361684,0.85883,0.62541,0.369173,0.585327,0.803788
299,1.000011,1.000077,1,1.000032,0.50236,1.365023,0.855515,0.623061,0.368023,0.587201,0.806277
300,0.999103,0.999924,1,0.999948,0.501721,1.358733,0.857562,0.622583,0.369257,0.585055,0.805871
349,0.99929,1.000029,1,0.999985,0.501228,1.363387,0.854814,0.620601,0.367635,0.58636,0.807649
350,0.999315,0.999999,1,1.000003,0.501906,1.361478,0.858585,0.621227,0.368648,0.584574,0.807928
399,0.999379,0.999974,1,0.999975,0.500564,1.363604,0.855072,0.618131,0.367089,0.585406,0.809803
400,0.999319,1.000046,1,0.999959,0.501939,1.361614,0.859463,0.619693,0.368636,0.584015,0.809981
449,0.999424,0.999958,1,0.999975,0.501351,1.364497,0.855873,0.618256,0.367426,0.585778,0.810912
450,0.999484,1.000066,1,1.000082,0.501448,1.359226,0.857382,0.617866,0.368921,0.584859,0.811579
499,0.999501,1.000026,1,1.000017,0.501287,1.365211,0.856803,0.617825,0.367187,0.585067,0.811374
500,0.999494,1.000025,1,1.000009,0.501201,1.360494,0.857856,0.617019,0.368396,0.584249,0.812295
600,0.999573,1.000046,1,0.999984,0.501338,1.360431,0.85911,0.616045,0.368514,0.583555,0.813801
700,0.999651,1.000013,1,0.999984,0.502135,1.360925,0.859455,0.616078,0.368966,0.584248,0.815052
800,0.999675,0.999982,1,1.00001,0.499706,1.359984,0.857542,0.612879,0.367435,0.582719,0.815343
900,0.999726,1.000014,1,0.999998,0.502099,1.359432,0.858763,0.614677,0.369345,0.584677,0.81685
1000,0.999768,1.000033,1,1.000008,0.500421,1.362029,0.859337,0.613351,0.367408,0.582334,0.81588
1500,0.999827,1.000013,1,0.999993,0.50089,1.360337,0.8589,0.612183,0.36821,0.583177,0.818203
2000,0.99988,0.999974,1,0.999989,0.499416,1.355797,0.8575,0.609033,0.368356,0.582409,0.820014
3000,0.999917,1,1,0.999994,0.500468,1.359594,0.860214,0.610932,0.368101,0.581794,0.819188
4000,0.99994,1.000003,1,1.000006,0.500495,1.361745,0.860342,0.610863,0.367539,0.581739,0.819323
5000,0.99996,1.000008,1,1.000017,0.499828,1.360926,0.860493,0.60996,0.367271,0.580862,0.819444
6000,0.999955,0.999992,1,0.999994,0.499938,1.357505,0.858825,0.609139,0.368277,0.582119,0.820729
7000,0.99996,0.999985,1,0.999988,0.499848,1.360514,0.858905,0.609183,0.367396,0.581959,0.820521
8000,0.999975,1.000004,1,1,0.500324,1.360559,0.859664,0.609427,0.367734,0.582,0.820975
9000,0.999969,0.999993,1,0.999996,0.500326,1.364728,0.860716,0.610429,0.366612,0.581291,0.819631
10000,0.999972,0.999993,1,1,0.500913,1.361848,0.860589,0.610314,0.367818,0.582058,0.820746
25000,0.999988,0.999995,0.999995,0.999995,0.499698,1.358078,0.858804,0.609104,0.367945,0.581853,0.820383
50000,0.999996,0.999995,0.999995,0.999999,0.500821,1.360549,0.859002,0.609728,0.368102,0.583027,0.821383
100000,0.999997,0.999999,0.999999,0.999999,0.500357,1.359568,0.859607,0.609403,0.368027,0.582077,0.821062
